La Palma,City,Orange,"15,568",1.81,4.7,26-Oct-55
La Puente,City,Los Angeles,"39,816",3.48,9,1-Aug-56
La Quinta,City,Riverside,"37,467",35.12,91,1-May-82
La Verne,City,Los Angeles,"31,063",8.43,21.8,20-Aug-06
Lafayette,City,Contra Costa,"23,893",15.22,39.4,29-Jul-68
Laguna Beach,City,Orange,"22,723",8.85,22.9,29-Jun-27
Laguna Hills,City,Orange,"30,344",6.67,17.3,20-Dec-91
Laguna Niguel,City,Orange,"62,979",14.83,38.4,1-Dec-89
Laguna Woods,City,Orange,"16,192",3.12,8.1,24-Mar-99
Lake Elsinore,City,Riverside,"51,821",36.21,93.8,"April 9, 1888"
Lake Forest,City,Orange,"77,264",17.82,46.2,20-Dec-91
Lakeport,City,Lake,"4,753",3.06,7.9,"April 30, 1888"
Lakewood,City,Los Angeles,"80,048",9.41,24.4,16-Apr-54
Lancaster,City,Los Angeles,"156,633",94.28,244.2,22-Nov-77
Larkspur,City,Marin,"11,926",3.03,7.8,1-Mar-08
Lathrop,City,San Joaquin,"18,023",21.93,56.8,1-Jul-89
Lawndale,City,Los Angeles,"32,769",1.97,5.1,28-Dec-59
Lemon Grove,City,San Diego,"25,320",3.88,10,1-Jul-77
Lemoore,City,Kings,"24,531",8.52,22.1,4-Jul-00
Lincoln,City,Placer,"42,819",20.11,52.1,"August 7, 1890"
Lindsay,City,Tulare,"11,768",2.61,6.8,28-Feb-10
Live Oak,City,Sutter,"8,392",1.87,4.8,22-Jan-47
Livermore,City,Alameda,"80,968",25.17,65.2,"April 1, 1876"
Livingston,City,Merced,"13,058",3.72,9.6,11-Sep-22
Lodi,City,San Joaquin,"62,134",13.61,35.2,6-Dec-06
Loma Linda,City,San Bernardino,"23,261",7.52,19.5,29-Sep-70
Lomita,City,Los Angeles,"20,256",1.91,4.9,30-Jun-64
Lompoc,City,Santa Barbara,"42,434",11.6,30,"August 13, 1888"
Long Beach,City,Los Angeles,"462,257",50.29,130.3,"December 13, 1897"
Loomis,Town,Placer,"6,430",7.27,18.8,17-Dec-84
Los Alamitos,City,Orange,"11,449",4.05,10.5,1-Mar-60
Los Altos,City,Santa Clara,"28,976",6.49,16.8,1-Dec-52
Los Altos Hills,Town,Santa Clara,"7,922",8.8,22.8,27-Jan-56
Los Angeles,City,Los Angeles,"3,792,621",468.67,"1,213.80","April 4, 1850"
